sample_id,status,elapsed_sec,annual_file,n_years,notes,mean_GPP,mean_NEP,mean_ER,mean_NPP
140,success,5.7,sample_0140/LHP_20250919_annual.txt,10,,2.3851,-0.004699999999999999,2.3896,0.3243
141,success,5.9,sample_0141/LHP_20250919_annual.txt,10,,2.3055,-0.0036999999999999997,2.3093,0.33280000000000004
142,success,5.8,sample_0142/LHP_20250919_annual.txt,10,,2.3049,-0.004200000000000001,2.3091,0.3318
143,success,5.8,sample_0143/LHP_20250919_annual.txt,10,,2.3049,-0.004200000000000001,2.3091,0.3318
144,success,5.5,sample_0144/LHP_20250919_annual.txt,10,,2.3049,-0.0039,2.309,0.3319
145,success,3.6,sample_0145/LHP_20250919_annual.txt,10,,2.3049,-0.0039,2.309,0.3319
146,success,5.9,sample_0146/LHP_20250919_annual.txt,10,,2.3047,-0.003999999999999999,2.3085999999999998,0.3321
147,success,5.9,sample_0147/LHP_20250919_annual.txt,10,,2.3047,-0.003999999999999999,2.3085999999999998,0.3321
148,success,5.8,sample_0148/LHP_20250919_annual.txt,10,,2.3047,-0.003999999999999999,2.3085999999999998,0.3321
149,success,5.7,sample_0149/LHP_20250919_annual.txt,10,,2.3047,-0.003999999999999999,2.3085999999999998,0.3321
150,success,3.7,sample_0150/LHP_20250919_annual.txt,10,,2.3047,-0.0038999999999999994,2.3085999999999998,0.3321
151,success,6.2,sample_0151/LHP_20250919_annual.txt,10,,2.1284,0.00019999999999999982,2.1281,0.2385
152,success,5.7,sample_0152/LHP_20250919_annual.txt,10,,2.1294,0.0002999999999999999,2.1292999999999997,0.2384
153,success,6.4,sample_0153/LHP_20250919_annual.txt,10,,0.8589,-0.0021999999999999997,0.8613,0.1695
154,success,6.4,sample_0154/LHP_20250919_annual.txt,10,,0.8589,-0.0021999999999999997,0.8613,0.1695
155,success,4.4,sample_0155/LHP_20250919_annual.txt,10,,0.6949,-0.0036000000000000003,0.6984,0.15489999999999998
156,success,6.6,sample_0156/LHP_20250919_annual.txt,10,,0.6944999999999999,-0.0035000000000000005,0.6979,0.1488
157,success,6.6,sample_0157/LHP_20250919_annual.txt,10,,0.698,-0.004,0.7022999999999999,0.16240000000000002
158,success,6.9,sample_0158/LHP_20250919_annual.txt,10,,0.6965,-0.0039,0.7005,0.16240000000000002
159,success,6.8,sample_0159/LHP_20250919_annual.txt,10,,0.6965,-0.004,0.7005,0.16240000000000002
160,success,5.0,sample_0160/LHP_20250919_annual.txt,10,,0.6965,-0.004,0.7005,0.16240000000000002
161,success,6.7,sample_0161/LHP_20250919_annual.txt,10,,0.6965,-0.004,0.7005,0.16240000000000002
162,success,6.5,sample_0162/LHP_20250919_annual.txt,10,,0.6965,-0.004,0.7005,0.16240000000000002
163,success,6.8,sample_0163/LHP_20250919_annual.txt,10,,0.6959,-0.004,0.7,0.161
164,success,6.4,sample_0164/LHP_20250919_annual.txt,10,,0.6838,-0.0036999999999999997,0.6875,0.1547
165,success,4.7,sample_0165/LHP_20250919_annual.txt,10,,0.6838,-0.0033,0.6872,0.1574
166,success,6.4,sample_0166/LHP_20250919_annual.txt,10,,0.669,-0.004200000000000001,0.6732,0.15460000000000002
167,success,6.3,sample_0167/LHP_20250919_annual.txt,10,,0.669,0.0373,0.6317,0.15460000000000002
168,success,6.5,sample_0168/LHP_20250919_annual.txt,10,,0.669,0.0373,0.6317,0.15460000000000002
169,success,6.3,sample_0169/LHP_20250919_annual.txt,10,,0.669,0.0396,0.6293,0.15460000000000002
170,success,4.5,sample_0170/LHP_20250919_annual.txt,10,,0.669,0.0396,0.6293,0.15460000000000002
171,success,6.3,sample_0171/LHP_20250919_annual.txt,10,,0.7037,0.0398,0.6639,0.1557
172,success,6.5,sample_0172/LHP_20250919_annual.txt,10,,0.6515000000000001,0.0324,0.6188,0.1291
173,success,6.7,sample_0173/LHP_20250919_annual.txt,10,,0.6515000000000001,0.0324,0.6188,0.1291
174,success,6.3,sample_0174/LHP_20250919_annual.txt,10,,0.6515000000000001,0.0324,0.6188,0.1291
175,success,4.1,sample_0175/LHP_20250919_annual.txt,10,,0.6514,0.0324,0.6188,0.1291
176,success,6.6,sample_0176/LHP_20250919_annual.txt,10,,0.6513,0.0327,0.6186,0.1303
177,success,6.4,sample_0177/LHP_20250919_annual.txt,10,,0.6324,0.0303,0.6023,0.12090000000000001
178,success,6.5,sample_0178/LHP_20250919_annual.txt,10,,0.596,0.029699999999999997,0.5664999999999999,0.1189
179,success,6.8,sample_0179/LHP_20250919_annual.txt,10,,0.596,0.029699999999999997,0.5664999999999999,0.1189
180,success,4.5,sample_0180/LHP_20250919_annual.txt,10,,0.5997,0.029599999999999998,0.5700999999999999,0.1189
181,success,6.7,sample_0181/LHP_20250919_annual.txt,10,,0.5997999999999999,0.0301,0.5696,0.12110000000000001
182,success,6.4,sample_0182/LHP_20250919_annual.txt,10,,0.5997999999999999,0.0301,0.5696,0.12110000000000001
183,success,6.7,sample_0183/LHP_20250919_annual.txt,10,,0.5995,0.0301,0.5694999999999999,0.12079999999999999
184,success,6.4,sample_0184/LHP_20250919_annual.txt,10,,0.5995,0.0301,0.5694999999999999,0.12079999999999999
185,success,4.3,sample_0185/LHP_20250919_annual.txt,10,,0.5995,0.0301,0.5694999999999999,0.12079999999999999
186,success,6.7,sample_0186/LHP_20250919_annual.txt,10,,0.5995,0.0361,0.5633999999999999,0.1475
187,success,6.8,sample_0187/LHP_20250919_annual.txt,10,,0.5995,0.0361,0.5633999999999999,0.1475
188,success,6.5,sample_0188/LHP_20250919_annual.txt,10,,0.8214,0.067,0.7542,0.26270000000000004
189,success,6.4,sample_0189/LHP_20250919_annual.txt,10,,0.8214,0.048799999999999996,0.7725000000000001,0.26270000000000004
190,success,4.8,sample_0190/LHP_20250919_annual.txt,10,,0.8214,0.048799999999999996,0.7725000000000001,0.26270000000000004
191,success,6.5,sample_0191/LHP_20250919_annual.txt,10,,0.8439,0.044,0.7999,0.2484
192,success,6.5,sample_0192/LHP_20250919_annual.txt,10,,0.8884000000000001,0.034800000000000005,0.8535,0.1694
193,success,6.9,sample_0193/LHP_20250919_annual.txt,10,,0.8884000000000001,0.034800000000000005,0.8535,0.1694
194,success,6.4,sample_0194/LHP_20250919_annual.txt,10,,0.8884000000000001,0.034800000000000005,0.8535,0.1694
