metric,name,mi
mean_ER,c3_cmpcd0,1.0496500658061423
mean_ER,over_spect,1.0495101208625224
mean_ER,soil_albedo0,1.0396857926824306
mean_ER,over_gss_b2,1.033723481042081
mean_ER,soil_f_co2_lf,1.032343418364803
mean_ER,c3_rmr_s,1.0317266319023786
mean_ER,tree_f_sz_r,1.0254580135191467
mean_ER,tree_rgc,1.0246284650824873
mean_ER,tree_alloc_abg,1.0194101858625615
mean_ER,c3_gs_b2,1.016869195371016
mean_ER,over_gss_b0,1.009664926729471
mean_ER,tree_ek0,1.0046727138630318
mean_ER,c3_root_spt_b,1.0021694483880366
mean_ER,soil_sr_hi,0.9961541505548537
mean_ER,c3_ek0,0.994311286265787
mean_ER,tree_rmr_h,0.9933294576644238
mean_ER,c3_lf0,0.9915061308402049
mean_ER,soil_f_co2_lr,0.9881306977422593
mean_ER,tree_gs_b0,0.9877138636815126
mean_ER,over_ke_n,0.986553723140666
mean_ER,c3_rgc,0.9850978363248866
mean_ER,soil_f_hm_a,0.965366582017174
mean_ER,c3_rmf0,0.9625269864049402
mean_ER,c3_kmci,0.9617891075111005
mean_ER,c4_cmpcd0,0.9613338913672411
mean_ER,soil_sr_hp,0.9599456265122213
mean_ER,c3_qtc0,0.9562978052059032
mean_ER,over_jvr,0.9349467626829215
mean_ER,c3_albedo,0.9331119061591446
mean_ER,over_nc_ct,0.9288986472318623
mean_ER,c3_km_nstl,0.924987605805059
mean_ER,soil_sr_ha,0.9193396812874848
mean_ER,over_cv_j,0.9112680307563703
mean_ER,over_cv_p,0.9064664595744398
mean_ER,tree_tmax,0.8912329261413461
mean_ER,over_acen_vc,0.8823805877277753
mean_ER,c3_qtf0,0.8801660487081882
mean_ER,c3_gs_b1,0.8720970782802981
mean_ER,over_hc_et,0.8603365419995845
mean_ER,tree_albedo,0.8479305174766674
mean_ER,over_acen_kc,0.8474990011822803
mean_ER,c3_rmc_s,0.810279871390323
mean_ER,c3_sla,0.8016663107243305
mean_ER,c3_ctmp_lfshd,0.798651442619781
mean_ER,c3_rmr_h,0.7520329721708525
mean_ER,tree_gs_b2,0.7041614523002497
mean_ER,tree_root_spt_b,0.6535519703118688
mean_ER,tree_cmpcd0,0.48057459031476846
mean_ER,soil_sr_lf,0.4758587662209042
mean_ER,over_scttr,0.469418776125865
mean_ER,over_str_et,0.467059023329367
mean_ER,soil_sr_lc,0.46348677581877284
mean_ER,c3_rmc_h,0.4633334480877638
mean_ER,under_gss_b0,0.4393219292237991
mean_ER,soil_kml,0.4289393115859321
mean_ER,soil_sr_lr,0.37375419121825537
mean_ER,over_rfl_d,0.20390577331452375
